Edible,Color,Shape,Surface
I,Orange,Convex-Depressed,Smooth
P,Pink,Convex-Depressed,Hairy-Fibrous
I,Brown-Dark,Convex-Depressed,Smooth
P,Pale-Lilac,Convex-Depressed,Smooth
I,White,Convex-Depressed,Silky
I,Pale,Convex-Depressed,Smooth
E,Brown,Convex-Depressed,Smooth
E, ,Flat,Velvety-Hairy
E,Orange,Polypore-Shellshaped,Velvety
I,Brown,CupFungi, 
E,Yellow-Brown,Convex-Bolete,Silky-FlatScales
E,Pale,Convex-Bolete,Smooth-FlatScales
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown,Convex-Bolete,Smooth-Velvety
E,Brown-Pale,Convex-Bolete,Smooth-Silky
E,White,Convex,Smooth
E,Brown,Convex-Bolete, 
E,Brown,Convex-Bolete,Smooth-Silky
E,Brown,Convex-Bolete,Smooth-Silky
E,Dark,Bolete-Convex,Smooth-Silky
E,Orange-Brown,Bolete-Convex,Smooth
E,Brown-Red,Bolete-Convex,Smooth-Silky
E,Brown,Funnelshaped,Smooth
P,Brown,Shellshaped,Hairy-Velvety
E,Brown-Tan,Convex, 
I,Brown,Convex-Depressed,Hairy-FlatScales
E,Purple,Shellshaped,RaisedScales
E,Tan-Brown,Convex-Depressed,FlatScales
,Yellow-Red, , 
I,Yellow,Convex-JellyFungi,Smooth
P,Brown-Pale,Convex-Flat,FlatScales
P,Brown,Convex-Bellshaped,FlatScales-Patches
P,White-Brown,Bellshaped-Flat,Fibrous-Hairy
P,White-Brown,Convex-Conical,Smooth-FlatScales
P,White-Brown,Convex-Flat,FlatScales
I,White,Convex,Fibrous
P,Yellow-Brown,Bellshaped-Flat,FlatScales-Fibrous
P,Brown,Convex,FlatScales
E,White-Pale,Convex,Smooth
P,White-Gray,Convex-Flat,Smooth
E,Brown-Purple,Convex,Smooth-Silky
E,Violet-Tan,Convex-Knobbed,Smooth
I,Red-Orange,Convex-Bellshaped,Patches
P,Red,Conical-Bellshaped,Smooth
I,Orange,Convex,Patches
E,Dark,Truffles, 
P,Gray,Convex-Bellshaped,Smooth
I,Yellow,Bellshaped-Conical,RaisedScales-Fibrous
P,White-Gray,Convex-Flat,FlatScales
E,White,Convex-Bellshaped,Patches
I,Brown,Convex,Smooth
E,White,Funnelshaped,Smooth
E,Brown,Convex-Flat,Smooth
E,Brown,Convex-Flat,Hairy-Fibrous
P,Yellow-Tan,Convex-Depressed,Smooth
P,White,Convex,Smooth
,Pink-Red, , 
